Nick May,2022-12-02T18:48:57Z,"Those autumnal winter days, cold grey and dark but gives that warm glow when you get home, great film",0
Matrix,2022-09-14T19:12:14Z,Just beautiful !,1
보름이의 일상,2021-12-27T02:59:22Z,cool!,0
Sills71,2021-02-01T10:58:44Z,Let's eat some fried stuff...  drink some beer and ride into a headwind...  NO THANKS...,0
Robert,2021-01-22T14:19:13Z,I met a Dutch lady when I was in Rome for the marathon in 2013. I told her I was from Scotland and she laughed and said: “Oh it rains all the time in Scotland!”Then.......this........dreich AF 🤣,2
Robert Feher,2020-12-09T19:14:55Z,Fantastic cinematography. I've been to the Netherlands many times. Very fitting.,2
David Rowe,2020-10-28T13:41:25Z,Films like this inspire me to go out and ride. And plan a trip to the Netherlands.,5
Richard Moffat,2020-06-29T16:39:06Z,One word of advice for these guys;  Mudguards.,2
David Maver,2020-04-22T12:54:18Z,Is there a link with their route? Thanks.,0
stephen dailey,2020-01-21T01:15:44Z,"Only Rapha would create a film of riders poorly equipped in bad weather to market and sell their products, only Rapha",2
Steve Cochrane,2019-04-11T03:09:45Z,Ca cest vashment cool. Chapeau les mecs,0
steven LENOS,2019-02-22T18:07:22Z,Heeeeel fijn. Herkenbaar. Mooi. Niiiiiice. Recognisable.,0
Peter Franz,2019-01-12T17:36:37Z,"Great video. I must have incredible luck. In my 7 or so trips to Holland, I've had nearly all sunny weather. But to me, even the gray is beautiful. Best cycling country.",4
Raoul Buijs,2018-03-29T16:08:59Z,what's that last song?,0
RepsacZ,2018-02-07T19:53:37Z,"Oh the wind, yes the endless wind. Dutch mountains baby... breeding pretty good climbers in the flattest country ever 😊",8
Dehan Louw,2017-03-15T16:31:46Z,I must find that Dutch song at the end. Any locals around?,1
Michael Clark,2017-02-21T14:31:25Z,"Heck yeah, all day ride with the buds!",1
Creaky Bottom Bracket,2016-07-13T23:06:00Z,I want to hang out with the herring guy.,11
Roman,2016-05-23T20:46:11Z,Haha those Rapha marketing boys sure know how to shoot a movie.,30
RLE82,2016-03-26T20:56:15Z,The pink hubs/headset/bottom bracket are they made by Chris King?,1
mobytoss,2015-08-19T17:17:10Z,"Denkend aan Hollandzie ik breede rivierentraag door oneindiglaagland gaan,rijen ondenkbaarijle populierenals hooge pluimenaan den einder staan;en in de geweldigeruimte verzonkende boerderijenverspreid door het land,boomgroepen, dorpen,geknotte torens,kerken en olmenin een grootsch verband.De lucht hangt er laagen de zon wordt er langzaamin grijze veelkleurigedampen gesmoord,en in alle gewestenwordt de stem van het watermet zijn eeuwige rampengevreesd en gehoord.",16
George Gilles,2015-06-27T10:04:54Z,Nice ride. ,0
Nextto Aneclair,2015-04-15T20:40:30Z,I'll have the wind for a sandwich,0
Trev Doyle,2014-11-08T14:29:17Z,"That was great, and nice to see real people and not those weirdos with their 'hey look at me' handlebar moustaches.",14
Allez Rouleur,2014-08-15T10:57:23Z,Love the token female cyclist they squeeze in.,4
vooruitgaan,2014-07-01T08:31:13Z,you picked the worstest day but that is holland too,1
vooruitgaan,2014-07-01T08:29:48Z,langevelder slag zo mooi....,0
Paul Van der Vliet,2014-06-18T13:24:09Z,Hoping you guys come to explore the Flemish Ardennes with all the legendary rides that have taken place there.. (Tour of Flanders),2
Christian Ammer,2014-06-12T07:05:58Z,Looks like summer ...,7
Peter Hall,2014-06-11T13:26:50Z,"Also, loving the Rapha Condor Sharp rain jacket. Mine still  looks class after 4 years of use!",2
Peter Hall,2014-06-11T13:25:10Z,Epic!,1
