Andy E,2020-04-27T06:39:19Z,"Lads getting new bikes in the same color, so their wives wouldn't know gave me a laugh.",3
peter kompter,2019-02-28T20:18:32Z,"not much style for Rapha, sad",0
dario arellano,2017-12-01T13:36:47Z,"OLD IS COOL !!! Amazing frames,",1
scrimperuk,2017-11-08T20:15:29Z,Quality cycles and nice to see something made in the UK.,3
maultx,2017-02-07T02:04:10Z,magnificent,3
andy withers,2015-09-14T18:55:54Z,"Had a Mercian since I was 16. (Now 41). Mercian have resprayed it a few time. Lovely frame. For long distance or winter riding, I take the Mercian. The carbon stays hanging up for racing. Great little vid. ",8
Matt Zilliox,2015-08-19T22:15:21Z,"wonderful artistry, I just found a 1970 Superlight in Legnano green, a stunning frame...can;t wait to outfit it in its former glory with campy nuovo record.",3
22triggy,2015-03-11T19:32:55Z,beautiful work,2
MrCandyman64,2015-02-04T18:57:29Z,great stuff,3
Regent Street London W1,2013-08-21T16:46:14Z,Fantastic watch - such great information.,2
Oli Barker,2013-08-14T21:12:26Z,"Fantastic video. Love the old school nature of it, none of this fancy carbon shit.",3
Ashley Evans,2013-08-14T19:20:11Z,That head tube lugs a beauty,4
Adam white,2013-08-14T14:17:23Z,might go visit there factory i live in derby :),0
