Darrell Johnson,2019-03-27T00:53:01Z,What is that instrumental in the beginning,0
Ali Abrahim,2019-02-23T18:10:31Z,"Just working in sport over the world, in  and make Huge Impact in bodies. and keeping save Wow ! Tour over the world amazing.",0
Gavrilovici Corneliu,2019-01-22T10:50:52Z,"Very nice videos, keep them coming!",0
Michele Graham,2019-01-22T07:17:32Z,The kit looks like someone vomited up a blueberry & strawberry smoothie.,0
MsPeperonata,2019-01-18T02:07:07Z,"I enjoyed the trying-on of the new Education First team kit and was particularly amused by the Mitch's pronunciation of ""gilet"" at 2:23 - but maybe that is how it is said in Aussie-speak! I gather that the day after this was filmed, Australia was the hottest place in the world and people were being warned to stay indoors. Looking on enviously here from chilly London.",0
xgalvan1,2019-01-18T01:51:45Z,How many cat 3s and C grades are going to grow out their moustaches this season?,0
Craig Paterson,2019-01-17T07:19:04Z,Did the presenter say Sprint Royale- if so  am scarred,1
Andrew Whittaker,2019-01-17T05:29:28Z,Getting there but MS production still a class above. Backstage or no backstage,1
BKXC,2019-01-17T03:04:11Z,"Loving these videos! Might be worth having the episode in the title or some diversity in the thumbnail, the first two episodes look exactly the same at a glance.",0
SkeetSystem,2019-01-17T01:43:14Z,I shuddered when I saw Sagan in Raybans and NOT huge Ski Visors,0
Pete Buck,2019-01-16T23:31:16Z,They are a hipster cool bunch of guys? Is it compulsory to have a tache at the moment. Great video thanks,0
BanjaxedSam,2019-01-16T21:14:13Z,Brilliant footage and access to the riders. Great to see a pro team doing this. 👍🏻🚴🏻,6
Timothy Topor,2019-01-16T16:08:01Z,KEEP IT COMING GUYS KEEP IT COMING LOL,0
matprlz,2019-01-16T12:22:02Z,Died at #SkinDog Pahaha 1:59,1
F K,2019-01-16T12:16:48Z,I hope you guys start making videos for TDF GIRO VUELTA be really cool go go EF !!!,6
Morgan Brown,2019-01-16T10:24:21Z,Is that mullet and moustache look some kind of post hipster irony or is the bogan look really cool right now?,17
Ben Whitmore,2019-01-16T10:04:57Z,These BTS videos are amazing thanks!,0
apple bottom jeans,2019-01-16T09:45:21Z,1:59 skin dog!,7
Fellusch,2019-01-16T09:16:41Z,That music is like the cherry on top of it. I just love to see the vibe the team with the kit spreads. thanks to the clever people behind all that.,2
jal492,2019-01-16T07:53:21Z,Go Scud! Love and all the best from Invercargill to you and the lads from EF Education First - have an awesome Tour. Go hard brother - we'll be looking for you :) New kit looking funky too; good job Rapha!,0
weera warakul,2019-01-16T07:43:17Z,Love the kit,0
Clint Honeycutt,2019-01-16T05:57:00Z,Awesome!,0
Bon Gabs,2019-01-16T05:11:06Z,"So awesome idea,,",0
Owen Seeley,2019-01-16T04:25:29Z,First,0
