Lewis Baker,2022-02-02T20:42:34Z,These videos are so staged it kinda makes me puke. No one else out there feel that way?,0
Pat Premdas,2020-12-02T21:00:44Z,I love these stories!!!  I can listen to this a thousand times. Amazing videos by Rapha.,0
Flandrien Hotel - This Cycling Life,2020-08-06T06:44:23Z,"For an interview with Alex Stieda about his passion for cycling, please see: https://youtu.be/D9PyTJnqMQA",0
Rudy Elizondo,2019-03-04T02:54:02Z,Great vid with Alex!! My man!!,0
Rico Uk,2018-08-25T07:26:48Z,"Brilliant, what a story! 🙌🏼",0
Julian Allen,2018-01-09T06:00:18Z,"What happened to that other great Canadian Continental ride, The Triple Crown that was filmed in Vancouver? Great film but strangely absent from the Rapha Films channel.",2
Gerald F Jenkins,2017-11-07T02:32:17Z,Great to be Canadian!,1
BenQ21000,2017-06-19T02:23:27Z,"Great video & awesome story from Alex stieda definitely brings back super memories of the Seven Eleven & the golden era of cycling great work. Just a note to Rapha filmakers, during this era in cycling there was a Colombian amateur team sponsored by Cafe Colombia led by non other than mountain climbing specialist   ""Luis Lucho Herrera"" he is considered to be the precursor to today's Nairo Quintana. I hope you can create a film on that era and the Colombian riders who also like the Seven Eleven team had a great impact in cycling.  Best wishes-!",3
whokitkat,2016-02-07T16:51:26Z,"Bravo Alex!Way to go for Canada at the Biggest Bike Race,,,,, the Tour de France!",5
George Gilles,2015-06-28T00:30:15Z,A true champion. ,3
Walter Bremner,2015-01-19T11:05:55Z,Briliiant! What a story.,3
SirToyou,2015-01-13T22:48:56Z,Alex is a cool dude.,3
Marco de Vries,2014-07-10T20:42:52Z,"after all these years still one of my favourite Rapha films. Stieda's got the true cycling spirit. Never ending enthousiasm for bike riding. Whatever the weather, he'll loves it!!!",6
Marco de Vries,2013-03-15T09:19:32Z," I viewed this film numerous times. To me Alex Stieda radiates so much enthousiasm about 'bikeriding' as he calls it. It is infectious. Whenever I am pushing the pedals overhere in the windy polders and think of him saying about his first TdF 'I don't know, let's go do it' it gives me a hell of a boost!!! Marco de Vries / The Netherlands",8
Jack Gross,2012-10-19T18:38:49Z,anyone know what song that is at 2:40?,0
simon jagassar,2012-07-24T03:41:31Z,Great vid. Brings back wonderful memories of the 1986 tour . Those were the days !,3
Poncho Arroyo,2012-07-23T02:30:28Z,Great vid.,1
