Josue Zuniga,2022-11-08T23:15:41Z,"I love cycling ,but i hate the pretentious lycra culture",0
BobeilBuratti,2022-10-04T19:52:10Z,Pure glam. The perfect way too feel the essence of this beautiful sport. I really like your point of you. Your brand even I’m from Italy is my favourite. Love and Pink 🚴🚴🚴,0
Lewis Baker,2022-02-26T16:07:53Z,"The Rapha Cult - never seen anything as staged or with as much snob appeal as this brand. However much pretentious crap they spew forth, it isn't about cycling but about making money.",0
Ron White,2021-11-04T11:24:40Z,"The older Rapha content seems to be pretentious twats seen to be wearing the ""in"" gear. No Lachlan, no likey.",0
성두현,2021-07-18T09:35:09Z,와우~~~!!경치 좋네요^^,0
Nil Vendrells Vilardell,2021-06-04T10:18:13Z,Hola! How are you? I know it’s an 6 years old video but... have anyone the tracks to do the same route as they’ve done on the video please? Thanks for that lovely video!,0
I Y A N,2020-11-02T18:56:38Z,"What about, one day Ride 300km finish in the Fuckingham Palace...?",0
Ben Truan,2020-10-02T19:05:34Z,"Mmmmm, ignored the clothing and meaning of the video  totally annoyed at Rapha supporting no helmet cyclists??? Nice one 👍",1
Alex Varga,2020-07-21T16:46:46Z,What is the background music folks?,1
Jonny Steel,2020-07-02T21:02:13Z,That were grand.,0
MrFunkeymonkey12,2020-06-28T08:45:57Z,Rapha loves Yorkshire so much that the nearest clubhouse is in Manchester...,2
jackchickenwing,2020-06-25T15:33:32Z,"this is cool, can someone send me a link to the £150 bib shorts now?",3
caveboy,2019-07-19T20:59:45Z,Contrived Rapha bollox,1
RixieRoo,2019-03-05T15:54:25Z,"The funny part, when do Rapha kit riders ever say ""morning"" doesn""t happen. great films.",1
Garth Garthly,2018-06-20T16:01:04Z,"No Yorkshire voices, then it aint Yorkshire, just tourists.",3
Vinay Basavaraj,2018-04-10T04:58:45Z,"I studied in Leeds, and I regret not cycling there",1
Angel Chavez,2018-01-21T23:11:16Z,No helmet rules :),1
pmay222,2017-11-26T19:28:01Z,Nobody carry a pump or saddlepack. ?,2
highway to health!,2017-10-22T19:41:13Z,Rapha videos...always motivational realistic just into the point of what cycling is about!!!,1
facilitytime,2017-02-26T20:08:04Z,posers,0
Tabrizi Hussin,2017-02-02T05:03:44Z,Could you please share the exact location of the viaduct... Look pretty interesting...,1
Andy.F,2017-01-20T21:22:16Z,I'm so grateful that Rapha invented cycling!,5
Howard N Hughes,2016-12-12T18:18:19Z,"As a RCC Manchester member ... can we do this ride in 2017? If so, count me in.",0
Ben Lock,2016-08-01T21:39:11Z,that big train bridge you went over was where one of the  harry potter films was filmed n such a great video,5
John Thomas,2016-05-05T22:24:25Z,It made me hungry just watching.,3
Peak Torque,2015-05-19T10:05:47Z,Wheres your helmet boy?,16
George Gilles,2015-03-05T17:13:16Z,Ah group rides are always the best. ,0
david williams,2014-12-05T18:07:07Z,"Thanks for this Rapha. After watching it i rode the skipton - malham - ribblehead - Settle leg. 8000 feet elevation and 110 miles. Life doesnt get much better.But then it did. I rode the Pateley Bridge - Masham - Bolton Abbey leg. One days ride total elevation 11,000 feet, 140 miles. Ridden from Ramsbottom Lancashire.Keep doing stuff like this.",28
Lee Hargreaves,2014-11-10T16:24:29Z,Love the girl with the long blonde hair and love her beard..gives me something to grab hold of....Woof!  Hoorah!,7
Aaron Culley,2014-09-28T21:26:08Z,relaxing,0
Allez Rouleur,2014-08-15T11:00:05Z,"Sweet, another token female cyclist! Gotta love one guy riding sans helmet. ""The evidence is inconclusive that they do you any good in the event of a crash.""",3
Sea Bus,2014-07-17T20:47:43Z,What camera have you used to film this brilliant clip?,1
Francesco Fabrizio,2014-07-17T19:06:27Z,fantastic,1
Peter Hall,2014-07-02T11:16:49Z,Yeah great film....but what the f&^% is up with that guys mullet?! Dude looks like Garth from Wayne's World.,7
Brian McGranahan,2014-07-02T00:29:23Z,If these Rapha films don't make you horny for a bike ride then nothing will.,40
