Harry Schuurman,2022-09-15T05:52:48Z,Big thanks to the rider’s for enduring the weather 🚴🚴,0
sweatnosweat,2020-12-08T17:08:23Z,leave the animals alone,0
The Last Spartan,2020-02-21T14:52:51Z,Why are the cyclists all wearing egg boxes tied to their heads ?? Are they all chicken,0
Ben Ward,2019-03-23T07:31:52Z,Now that was great!,0
George J Gilles.:,2018-12-18T04:45:50Z,👍,0
Ben Whitmore,2018-08-05T05:05:40Z,My favourite Rapha video by far.,2
Volodymyr Ilchenko,2017-11-29T10:23:05Z,"Thankfully to Rapha's movies i'm getting… frustrating into the good direction, i mean...  kinda something is changing inside me. I know it is core of perception of that broken world. Thank you",0
highway to health!,2017-11-19T19:43:22Z,I think i became a Rapha <<bad>>weather video addict..,3
George J Gilles.:,2017-08-30T07:05:59Z,Nice,0
Reda Niha,2016-11-08T17:32:47Z,waw Nice man,0
Giuseppe Catalano,2016-05-23T04:46:54Z,Beautiful!,1
Ozrugbynut,2013-11-01T11:24:38Z,just ordered a bike...,2
Abracadab5,2013-07-05T12:18:07Z,"Next time I think ""hmmm, it's a bit overcast, windy and drizzly today - think I'll wait for a nicer day to ride'', I'm gonna make a mental note to watch this video to stop myself being such a fair-weather rider! Hats off to you guys - serious respect.",1
Theo Clark Media,2013-04-07T11:24:11Z,Beautiful footage.,0
BigBlackPug,2012-07-14T21:33:47Z,I really look forward to the Rapha Continental films. Top top quality stuff.,1
folklore2,2012-07-13T10:59:56Z,This made me incredibly homesick for some reason. Beautiful nonetheless.,3
