Ryan ,2021-09-25T09:17:43Z,Please continue this series,2
Jürgen Lachmuth,2021-05-22T22:38:37Z,Viiiiiel zu kurz …,0
Raven,2020-09-10T23:05:17Z,Rapha rides Vancouver pleaseee,2
Zach Green,2018-03-12T19:37:54Z,All the Kraftwerk music really made this one,3
C345 OFR,2017-06-26T23:48:24Z,Love the 'Die Roboter' remix at 1:33 but surely one of the tracks off Tour De France Soundtracks would have been more appropriate :-p ?,1
David O Brien,2017-06-22T00:36:54Z,Coming soon... Rapha RIDES Dublin,1
Jacek Wollny,2017-06-10T19:01:00Z,Heimweh...,0
Kettenblatt Blog,2017-06-09T06:45:51Z,"Die Mützen-Rüpel, sehr schön!",0
Eddie Jack,2017-06-08T01:58:49Z,Cool video!,0
Urby 1,2017-06-08T00:04:53Z,Some cool looking steel bikes!!,1
R S,2017-06-07T18:45:17Z,"Nice! And awesome bike store, I have been there...",3
Alex Grytsenko,2017-06-07T17:22:24Z,Amazing video. Love rapha,2
