Jojo Anggono,2021-11-21T13:01:49Z,This is like poetry transformed into motion. Beautiful!,0
Vinay Basavaraj,2018-04-18T05:02:09Z,Trippy!,0
placeres444,2013-11-23T00:01:04Z,The name of the poem and author anyone? please? thanks,0
Andre Smilgin,2013-09-09T22:50:57Z,Beautiful!,0
"拳打高华,脚踢神神",2013-09-09T03:33:23Z,云南非常漂亮！！！,0
oshuary,2013-09-06T04:27:38Z,Rapha always makes amazing films.,0
Arnold Kelly,2013-09-05T04:18:08Z,nice..!,0
Pstaryu Sankham,2013-09-03T15:40:58Z,zen,0
Regent Street London W1,2013-09-03T12:08:32Z,Impressive watch.,0
Slavomíra Nemčíková,2013-09-02T16:24:24Z,what a stunning place! love the video...I am just wondering how many cars can one meet up there?,0
