musterjedi,2019-11-05T15:10:38Z,my new fav.,0
LAOCAI MTB,2019-07-08T13:36:45Z,Thank you so much. Great flim. You are lucky!,0
ADAME【動画】,2019-05-25T12:52:05Z,NICE,0
MAI THAO,2017-03-30T23:06:49Z,"I'm also Black Hmong, but I live in US. I love seeing footage of my beloved people all over Asia. I also love the singing & music you use in this video!",1
Maja June,2016-05-10T19:23:40Z,Amazing................Love it......sooooo beautiful.,0
Leo Karnan,2015-09-28T15:29:21Z,beautiful video ! Nice work!,0
George Gilles,2015-06-27T08:59:59Z,Awesome. ,1
boo9oob,2015-06-14T14:03:14Z,3:15 this dude looks like Jet Lee... :),0
Nextto Aneclair,2015-04-15T20:44:41Z,seduction by light,0
Vu Thu Trang,2014-11-04T03:34:54Z,Great clip!! Great combination between nice scenes and music!,0
Tăng Văn Ngọc,2014-08-13T16:37:45Z,Great :)Feeling excited !!!Enjoy your trip,0
Nguyen Ngocthuy,2013-11-02T13:38:23Z,perfect <3,0
Hoang Ka,2013-10-21T11:33:41Z,Vietnam,0
paolo russo,2013-09-29T16:20:07Z,very nice video,0
brianmcg321,2013-07-20T01:35:58Z,Sapa,0
CHIEN MACH QUANG,2013-04-18T05:13:28Z,There's only 1 Word: Excellent !,0
Gianni Ottone,2013-01-08T05:34:19Z,Seriously perfection.,0
John D.,2012-12-23T06:48:52Z,I TOTES AGREE! 100% GIRLFRAN!!!,0
dQw4w9WgXcQ,2012-12-23T00:17:48Z,Favorite Rapha video right here,0
nijaz285 Rivera Alvarado,2012-12-13T09:41:36Z,"If incredible pedaling for several hours in lonely places and beautiful, enjoy nature, sunsets, wind and rain is extraordinary, I practice mountain biking and I like the trails and climbing slopes complicated.motivates me video",0
mrblu 733,2012-11-05T05:52:31Z,Nice video and song. Had to share it with my cycling buddies on FB.,0
