gokaygs,2022-06-21T05:08:08Z,"This is the most real Rapha thing I ever saw. The cyclist is working hard and has good handling skills, even the bike has rim brakes!! Like from me.",0
David Couillard,2022-02-09T01:18:38Z,Ohhh… Is there a looping sleep soundtrack of this video available?,0
Rice Crash,2021-10-19T03:50:43Z,Finally a video with the perfect soundtrack.,1
Cormac at Cycle Sierra Nevada,2021-09-01T07:55:12Z,"fuck, I hate these brands.",0
Santonioh25,2021-06-25T06:47:58Z,Still overpriced.,0
Lucas Almeida,2021-02-21T16:15:38Z,the best market brand for sell cycling how sport to everybody !!!,0
iRideToronto,2020-12-16T21:03:06Z,Rapha films team has  some top notch editing skills,2
Bike Dawg,2020-03-15T01:27:21Z,$190.00????   YIKES!!!!!!!!!,0
승현,2020-02-06T10:29:45Z,멋잇다 마치 나처럼,0
Jon Harvey,2019-08-20T03:24:13Z,Where is this shot? Where is that tunnel?,2
Stefano Mancini,2019-04-30T16:48:51Z,I have flightweight weight Gilet.  Love it! Love Rapha!,1
Mark Falkingham,2018-09-06T10:15:32Z,Which jersey was that he had on?,1
Andy Saiden,2018-06-13T16:21:33Z,The soundtrack was absolutely astonishing.,41
TR7 TRIUMPH,2018-01-08T20:02:53Z,"lmao this shit won't keep you warm for shit, get a real jacket when it gets cold.  $200? I wouldnt pay a dime.",0
THATSHODDYGUY,2017-12-15T04:08:35Z,Why does he sound like a car,4
grillmouth,2017-12-07T05:46:55Z,"I won't buy this because rapha don't make pachyderm friendly clothes.But this ad, makes me want to ride. Beautiful!!!",2
Hazem Ali,2017-12-04T14:44:37Z,"One of the most simple, yet to the point and beautiful adv. !",24
plainbagel,2017-11-20T01:32:35Z,I would so buy this if it was cheaper.,7
Peter Irving,2017-11-20T00:09:04Z,location?,1
J P,2017-11-17T12:28:35Z,Grammy nomination material ""A Man and his Vest"",16
